"CNTSTUID","ST188Q01HA","ST188Q02HA","ST188Q03HA","ST188Q06HA","ST188Q07HA","ST102Q02TA","ST102Q04TA","ST104Q03NA","ST152Q05IA","ST152Q08IA","ST100Q01TA","ST211Q01HA","ST211Q02HA","ST211Q03HA","ST213Q01HA","Sum"
41003259,3,3,1,2,3,4,3,1,1,2,3,1,1,3,3,18
41003276,3,3,2,2,3,3,3,2,2,2,4,3,3,3,3,21
41003286,4,4,2,4,4,4,4,2,4,4,4,3,2,1,3,19
41003291,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,10
41003314,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,5
41003316,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,10
41003332,3,3,3,4,3,2,2,1,1,1,1,2,2,2,2,11.83
41003347,3,4,2,3,3,4,2,1,2,2,4,1,3,2,3,8
41003375,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
41003407,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,16
41003430,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,19
41003462,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,12
41003478,4,4,4,3,3,3,4,2,3,3,4,3,3,3,4,19
41003502,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,23
41003512,3,3,3,3,3,2,2,3,2,2,2,3,3,3,3,19
41003541,2,2,2,3,3,4,4,2,2,2,4,3,3,3,3,10
41003602,3,3,2,3,3,2,4,1,2,3,3,3,3,3,3,12
41003641,3,3,2,2,3,2,2,1,3,3,2,1,2,3,3,15
41003660,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,13
41003688,3,2,2,2,2,3,3,4,4,4,3,4,4,4,4,16.33
41003692,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,23
41003815,3,3,2,3,2,3,3,2,3,3,4,3,3,3,3,4
41003840,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9
41003856,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,12
41003885,4,4,3,3,3,4,4,3,4,4,4,3,3,3,4,20
41003906,3,4,4,3,4,4,4,3,3,3,4,3,3,4,3,8
41003969,4,4,4,3,3,4,3,4,3,3,3,1,3,1,3,12
41003990,3,2,3,2,1,3,2,2,2,2,3,2,2,2,3,10
41004022,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,10
41004023,3,3,3,3,3,2,3,2,3,3,3,2,4,3,3,20
41004070,3,2,2,3,3,3,4,3,3,3,4,3,4,3,3,5
41004163,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,10.33
41004180,4,3,2,1,1,4,3,2,2,2,3,2,2,2,3,18
41004204,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,20
41004244,2,2,2,2,2,2,2,1,2,2,3,3,3,2,2,5
41004275,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8
41004401,3,4,2,1,2,3,3,2,3,2,3,3,3,3,2,11
41004436,3,3,2,3,2,2,3,1,1,1,2,2,2,3,3,10
41004439,3,4,2,3,4,4,4,3,3,3,4,3,3,3,2,19
41004461,4,4,4,4,4,2,2,3,3,3,3,3,2,3,3,14
41004464,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,20.5
41004479,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,9
41004506,3,3,3,3,3,3,4,3,3,4,4,3,3,3,4,19
41004560,3,2,2,2,2,4,4,3,3,4,4,3,4,3,3,22.33
41004561,3,4,2,3,3,4,4,2,3,4,3,3,3,3,3,11
41004576,3,3,2,2,2,2,2,3,3,2,2,3,3,3,3,4
41004605,3,3,3,3,3,3,3,1,2,2,2,3,3,3,3,8
41004652,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,18.5
41004745,3,3,3,3,3,1,4,2,2,3,4,2,3,3,3,15
41004748,2,3,2,2,2,3,3,1,1,1,2,3,3,2,3,8
41004753,3,3,2,3,3,3,4,1,3,4,2,3,3,3,3,17
41004954,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,11
41005004,4,NA,3,4,3,2,3,2,3,3,3,3,3,4,3,9
41005040,3,4,3,3,3,3,4,1,3,3,3,3,3,3,3,12.33
41005065,3,3,3,3,3,4,4,4,2,3,3,3,3,3,3,7
41005066,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,5
41005183,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,16
41005266,3,3,3,3,3,4,4,4,2,3,3,3,3,3,3,15
41005345,3,3,2,3,3,3,3,1,2,2,3,3,2,3,3,16
41005505,3,4,3,4,4,4,4,4,3,4,4,3,4,3,4,23
41005546,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14.5
41005560,3,NA,2,2,3,3,4,2,3,2,4,2,2,2,3,11
41005576,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,13.66
41005584,2,3,2,3,4,2,3,2,2,2,4,3,4,4,3,12
41005586,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,16.83
